2026-06-27 09:12:39,289 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x1052e99a0> server_hostname='example.com' timeout=15
2026-06-27 09:12:39,303 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x105341f90>
2026-06-27 09:12:39,303 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-06-27 09:12:39,304 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-06-27 09:12:39,304 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-06-27 09:12:39,304 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-06-27 09:12:39,304 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-06-27 09:12:39,318 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sat, 27 Jun 2026 07:12:39 GMT'), (b'Content-Type', b'text/html'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'last-modified', b'Sat, 20 Jun 2026 20:45:06 GMT'), (b'allow', b'GET, HEAD'), (b'Age', b'7970'), (b'cf-cache-status', b'HIT'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a122a5061af10206-WAW')])
2026-06-27 09:12:39,318 | INFO     | httpx | HTTP Request: GET https://example.com "HTTP/1.1 200 OK"
2026-06-27 09:12:39,318 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-06-27 09:12:39,318 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-06-27 09:12:39,318 | DEBUG    | httpcore.http11 | response_closed.started
2026-06-27 09:12:39,318 | DEBUG    | httpcore.http11 | response_closed.complete
2026-06-27 09:12:39,319 | DEBUG    | src.fetcher | Response 200 in 0.07s (559 bytes, final URL: https://example.com)
2026-06-27 09:12:39,319 | DEBUG    | httpcore.connection | close.started
2026-06-27 09:12:39,319 | DEBUG    | httpcore.connection | close.complete
2026-06-27 09:12:39,320 | DEBUG    | src.parser | Removed 1 noise tag(s)
2026-06-27 09:12:39,320 | DEBUG    | src.parser | Content root: <body>
2026-06-27 09:12:39,320 | INFO     | src.parser | Parsed content: 131 characters
2026-06-27 09:12:39,320 | INFO     | __main__ | Saved to /Users/adamdomachowski/Desktop/coding/page_fetcher/output/example_com_2026-06-27.md
